2020-05-30 14:16:23;30.21
2020-05-30 14:16:28;30.21
2020-05-30 14:16:33;30.21
2020-05-30 14:16:39;30.21
2020-05-30 14:16:44;30.21
2020-05-30 14:16:49;30.21
2020-05-30 14:16:54;30.21
2020-05-30 14:16:59;30.21
2020-05-30 14:17:05;30.21
2020-05-30 14:17:10;30.21
2020-05-30 14:17:15;30.21
2020-05-30 14:17:20;30.21
2020-05-30 14:17:25;30.21
2020-05-30 14:17:30;30.21
2020-05-30 14:17:36;30.21
2020-05-30 14:17:41;30.21
2020-05-30 14:17:46;30.21
2020-05-30 14:17:53;30.21
2020-05-30 14:18:01;30.21
2020-05-30 14:18:06;30.21
2020-05-30 14:18:11;30.21
2020-05-30 14:18:16;30.21
2020-05-30 14:18:21;30.21
2020-05-30 14:18:27;30.21
2020-05-30 14:18:34;30.21
2020-05-30 14:18:44;30.21
2020-05-30 14:18:50;30.21
2020-05-30 14:18:55;30.21
2020-05-30 14:19:00;30.21
2020-05-30 14:19:05;30.21
2020-05-30 14:19:11;30.21
2020-05-30 14:19:16;30.21
2020-05-30 14:19:21;30.21
2020-05-30 14:19:26;30.21
2020-05-30 14:19:31;30.21
2020-05-30 14:19:36;30.21
2020-05-31 11:21:17;58.06
2020-05-31 11:21:22;58.46
2020-05-31 11:21:27;57.28
2020-05-31 11:21:32;56.11
2020-05-31 11:21:37;54.94
2020-05-31 11:21:43;53.37
2020-05-31 11:21:48;52.59
2020-05-31 11:21:54;51.03
2020-05-31 11:22:00;49.36
2020-05-31 11:22:05;47.8
2020-05-31 11:22:11;46.63
2020-05-31 11:22:16;45.45
2020-05-31 11:22:21;43.89
2020-05-31 11:22:26;43.11
2020-05-31 11:22:31;41.54
2020-05-31 11:22:36;40.37
2020-05-31 11:22:41;39.2
2020-05-31 11:22:47;37.63
2020-05-31 11:22:52;36.46
2020-05-31 11:22:57;35.29
2020-05-31 11:23:02;33.72
2020-05-31 11:23:07;32.55
2020-05-31 11:23:12;31.38
2020-05-31 11:23:18;29.42
2020-05-31 11:23:23;27.86
2020-05-31 11:23:28;25.12
2020-05-31 11:23:33;23.17
2020-05-31 11:23:38;20.43
2020-05-31 11:23:43;17.69
2020-05-31 11:23:48;15.25
